Value,Feature
95,id_01_count_dist
81,id_31_count_dist
56,id_36_count_dist
46,id_31
32,version_id_31
30,id_13
30,D13
26,id_36
24,id_33_count_dist
23,id_30
13,V167
10,device_name
9,version_id_30
9,id_34
9,V88
9,DeviceInfo__P_emaildomain
8,id_33
8,device_version
7,V22
7,D14
7,id_01
7,id_02_to_mean_card1
6,V65
6,V56
6,V326
6,id_02_to_std_addr1
5,id_02_to_mean_card4
5,V14
4,V294
4,id_02
4,V175
4,D6
4,D15_to_mean_addr1
3,V55
3,V75
3,V96
3,TransactionAmt_to_mean_card1
3,V79
3,D15_to_std_addr1
3,id_02_to_mean_addr1
3,id_05
3,id_19
3,id_21
3,id_02_to_std_card4
3,id_36_count_full
2,V224
2,C8
2,DeviceInfo
2,DeviceType
2,TransactionAmt_to_std_addr1
2,V168
2,V213
2,TransactionAmt_to_mean_card4
2,V26
2,addr1__card1
2,id_11
2,id_14
2,id_26
2,id_32
2,V58
1,V160
1,V139
1,V144
1,V15
1,V150
1,V152
1,V183
1,V169
1,V178
1,V203
1,V187
1,V200
1,TransactionAmt_to_std_card1
1,V127
1,D15
1,TransactionAmt_to_mean_addr1
1,P_emaildomain
1,OS_id_30
1,D8
1,D4
1,D3
1,D2
1,D15_to_mean_card4
1,D15_to_mean_card1
1,D10
1,C6
1,C10
1,V209
1,V207
1,V105
1,V211
1,V78
1,screen_width
1,V212
1,id_35
1,id_25
1,id_20
1,id_18
1,id_07
1,id_06
1,dist2
1,card5__P_emaildomain
1,card1__card5
1,card1
1,browser_id_31
1,V97
1,id_15
1,V267
1,V74
1,V66
1,V64
1,V333
1,V332
1,V323
1,V295
1,V234
1,V289
1,V287
1,V218
1,V235
0,V186
0,V185
0,V198
0,V184
0,V182
0,V181
0,V189
0,V180
0,V188
0,V194
0,V19
0,V190
0,V191
0,V192
0,V193
0,V195
0,V196
0,V197
0,V179
0,V18
0,V161
0,V177
0,V162
0,V153
0,V154
0,V155
0,V156
0,V157
0,V158
0,V159
0,V16
0,V2
0,V163
0,V176
0,V164
0,V165
0,V166
0,V17
0,V170
0,V171
0,V172
0,V173
0,V174
0,V199
0,V219
0,V20
0,V230
0,V232
0,V233
0,V236
0,V237
0,V238
0,V239
0,V24
0,V240
0,V241
0,V242
