,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,2566,2393,2325,2367,2347,2399.6
1,ProductCD,675,456,742,768,742,676.6
2,card1,7907,8110,7536,7275,7972,7760.0
3,card2,5900,5394,5388,5789,6326,5759.4
4,card3,342,439,489,277,544,418.2
5,card4,564,556,748,495,620,596.6
6,card5,1369,1551,1304,1467,1345,1407.2
7,card6,858,733,784,762,657,758.8
8,addr1,4382,4471,4898,5120,5072,4788.6
9,addr2,142,373,171,185,206,215.4
10,dist1,4214,4748,4308,4221,4158,4329.8
11,dist2,2162,1654,1575,2115,1979,1897.0
12,P_emaildomain,1049,913,1015,968,1121,1013.2
13,R_emaildomain,1316,1327,1222,1447,1480,1358.4
14,C1,3545,3073,2993,3253,3284,3229.6
15,C2,2845,2549,2708,2474,2670,2649.2
16,C3,371,398,402,429,357,391.4
17,C4,349,246,451,301,276,324.6
18,C5,1325,1220,1252,1255,1430,1296.4
19,C6,2215,1929,1839,1991,2034,2001.6
20,C7,247,174,275,175,268,227.8
21,C8,1094,884,884,657,845,872.8
22,C9,2214,1739,1934,1916,2039,1968.4
23,C10,957,633,784,797,921,818.4
24,C11,2560,2242,2348,1910,2284,2268.8
25,C12,963,819,755,971,578,817.2
26,C13,5438,5157,4791,5203,5511,5220.0
27,C14,2392,2328,2248,2382,2587,2387.4
28,D1,3827,3367,3649,3706,3743,3658.4
29,D2,4944,4130,4292,4480,4245,4418.2
30,D3,2101,1727,2169,1907,1977,1976.2
31,D4,4436,3931,4203,4079,4120,4153.8
32,D5,1424,1482,1482,1297,1438,1424.6
33,D6,1073,902,739,1030,834,915.6
34,D7,326,421,233,273,325,315.6
35,D8,3423,3272,3357,3430,3774,3451.2
36,D9,872,954,1277,1180,1065,1069.6
37,D10,4065,3882,3562,3824,4076,3881.8
38,D11,2797,2572,2610,2274,2346,2519.8
39,D12,679,754,648,598,794,694.6
40,D14,1570,1466,1359,1482,1173,1410.0
41,D15,1490,1149,1328,1340,1454,1352.2
42,M1,5,62,5,13,11,19.2
43,M2,214,212,346,149,80,200.2
44,M3,398,423,362,365,417,393.0
45,M4,1253,1349,1232,1019,1202,1211.0
46,M5,1162,1101,1046,1052,1145,1101.2
47,M6,843,917,1044,1029,1031,972.8
48,M7,400,343,406,212,294,331.0
49,M8,277,256,288,170,194,237.0
50,M9,230,259,327,228,229,254.6
51,V1,0,1,0,0,0,0.2
52,V2,204,195,109,194,192,178.8
53,V3,135,205,70,88,89,117.4
54,V4,337,224,305,291,249,281.2
55,V5,442,431,351,337,345,381.2
56,V6,157,278,106,195,123,171.8
57,V7,268,326,256,170,144,232.8
58,V8,211,165,212,209,115,182.4
