,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,22798,10337,7057,10524,8297,11802.6
1,ProductCD,1410,921,910,1192,972,1081.0
2,card1,45721,22433,15661,22249,16601,24533.0
3,card2,35316,16895,11932,17957,13647,19149.4
4,card3,1469,971,756,879,814,977.8
5,card4,2794,1504,1166,1567,1365,1679.2
6,card5,11368,5441,3815,5627,4373,6124.8
7,card6,2032,1240,1177,1343,998,1358.0
8,addr1,33960,16997,11748,17610,12917,18646.4
9,addr2,195,212,79,160,136,156.4
10,dist1,23263,11012,7521,11297,8397,12298.0
11,dist2,7413,3160,1868,3825,2588,3770.8
12,P_emaildomain,11361,5170,3856,5469,4777,6126.6
13,R_emaildomain,4853,2322,1955,2833,2151,2822.8
14,C1,10059,6008,4694,5963,4970,6338.8
15,C2,9585,5489,4379,5566,4603,5924.4
16,C3,361,275,242,306,221,281.0
17,C4,1276,811,673,866,663,857.8
18,C5,3795,2115,1625,2136,1690,2272.2
19,C6,7550,4390,3459,4386,3547,4666.4
20,C7,751,408,381,443,339,464.4
21,C8,2784,1425,1040,1276,972,1499.4
22,C9,5693,3120,2503,3390,2663,3473.8
23,C10,2380,1240,959,1293,1185,1411.4
24,C11,6698,3989,3147,4057,3424,4263.0
25,C12,2779,1663,1158,1424,1222,1649.2
26,C13,13509,8642,6711,9006,7244,9022.4
27,C14,8213,4940,3771,5217,4067,5241.6
28,D1,14412,8348,6416,8050,6831,8811.4
29,D2,15635,8568,6629,9145,7448,9485.0
30,D3,7872,4513,3303,4455,3359,4700.4
31,D4,18538,9985,7354,10087,7556,10704.0
32,D5,9085,4401,2956,4490,2995,4785.4
33,D6,3827,1705,1312,1769,1275,1977.6
34,D7,1525,662,358,675,445,733.0
35,D8,10272,5723,4243,5821,4477,6107.2
36,D9,5299,2502,1814,2741,1812,2833.6
37,D10,14296,7953,6064,8371,6616,8660.0
38,D11,12974,6799,4843,6005,5041,7132.4
39,D12,3396,1673,1202,1580,1294,1829.0
40,D13,2497,1499,1011,1140,955,1420.4
41,D14,4705,2118,1432,2028,1568,2370.2
42,D15,10119,5391,4142,5610,4854,6023.2
43,M1,36,26,27,20,25,26.8
44,M2,1469,786,653,656,561,825.0
45,M3,1934,1133,860,1023,866,1163.2
46,M4,4999,2645,1859,2540,2012,2811.0
47,M5,4638,2524,2092,2449,2018,2744.2
48,M6,3697,2246,1689,2277,1808,2343.4
49,M7,2197,965,779,833,705,1095.8
50,M8,1613,862,670,744,624,902.6
51,M9,2304,1146,846,1093,883,1254.4
52,V1,7,5,12,4,3,6.2
53,V2,631,304,234,270,201,328.0
54,V3,1049,523,300,475,292,527.8
55,V4,1903,894,619,880,602,979.6
56,V5,2486,1248,762,1151,767,1282.8
57,V6,753,391,274,404,185,401.4
58,V7,973,519,367,502,358,543.8
59,V8,383,169,151,218,102,204.6
60,V9,421,154,140,172,122,201.8
61,V10,1494,599,333,532,325,656.6
62,V11,1373,551,310,502,295,606.2
63,V12,1903,1110,752,1062,862,1137.8
64,V13,2226,1173,902,1198,985,1296.8
65,V14,8,2,4,0,0,2.8
66,V15,60,70,65,62,73,66.0
67,V16,89,67,57,74,64,70.2
68,V17,88,75,39,54,44,60.0
69,V18,91,79,36,65,67,67.6
70,V19,1609,948,689,926,804,995.2
71,V20,2019,1312,1019,1209,1064,1324.6
72,V21,39,29,14,32,39,30.6
73,V22,26,51,23,48,27,35.0
74,V23,835,422,279,460,323,463.8
75,V24,1177,599,513,680,398,673.4
76,V25,671,280,219,334,197,340.2
77,V26,569,371,284,308,302,366.8
78,V27,0,0,1,2,0,0.6
79,V28,1,0,0,1,1,0.6
80,V29,875,492,405,459,407,527.6
81,V30,1093,569,473,596,426,631.4
82,V31,44,47,18,25,22,31.2
83,V32,111,48,41,47,31,55.6
84,V33,227,218,153,156,128,176.4
85,V34,302,232,177,181,206,219.6
86,V35,2862,1400,927,1459,1205,1570.6
87,V36,2756,1373,964,1394,1101,1517.6
88,V37,1507,716,580,817,598,843.6
89,V38,2581,1357,792,1333,1137,1440.0
90,V39,576,262,158,322,207,305.0
91,V40,711,359,254,347,241,382.4
92,V41,5,6,5,3,2,4.2
93,V42,315,220,143,205,122,201.0
94,V43,609,299,207,269,291,335.0
95,V44,1949,948,732,1005,772,1081.2
96,V45,2600,1385,1072,1463,1199,1543.8
97,V46,317,120,112,188,169,181.2
98,V47,767,417,396,534,410,504.8
99,V48,1424,683,523,724,491,769.0
100,V49,1585,794,512,747,595,846.6
101,V50,71,65,50,56,54,59.2
102,V51,622,332,211,297,291,350.6
103,V52,867,524,340,491,379,520.2
104,V53,2126,1217,907,1324,1072,1329.2
105,V54,2404,1325,955,1334,1095,1422.6
106,V55,1182,624,526,645,510,697.4
107,V56,1460,804,607,837,714,884.4
108,V57,252,145,85,94,103,135.8
109,V58,300,300,166,203,258,245.4
110,V59,389,181,146,138,94,189.6
111,V60,382,210,169,190,189,228.0
112,V61,2436,1275,1075,1465,1213,1492.8
113,V62,2776,1492,1285,1673,1442,1733.6
114,V63,266,142,119,190,91,161.6
115,V64,509,197,197,232,194,265.8
116,V65,0,1,1,0,0,0.4
117,V66,835,509,372,450,415,516.2
118,V67,1130,725,635,783,660,786.6
119,V68,1,0,1,0,0,0.4
120,V69,896,518,355,483,420,534.4
121,V70,1162,617,459,578,561,675.4
122,V71,134,89,53,66,77,83.8
123,V72,186,208,111,143,162,162.0
124,V73,420,230,157,256,196,251.8
125,V74,702,358,264,433,339,419.2
126,V75,2461,1457,1056,1385,1113,1494.4
127,V76,2599,1309,1082,1429,1218,1527.4
128,V77,1446,710,508,829,578,814.2
129,V78,2221,1261,850,1234,1095,1332.2
130,V79,318,194,133,192,188,205.0
131,V80,292,144,106,97,97,147.2
132,V81,551,310,223,274,210,313.6
133,V82,2700,1247,1015,1469,1330,1552.2
134,V83,3109,1729,1273,1870,1305,1857.2
135,V84,143,82,44,75,53,79.4
136,V85,525,272,155,229,161,268.4
137,V86,1489,904,608,803,627,886.2
138,V87,2714,1527,1062,1535,1219,1611.4
139,V88,0,1,0,1,0,0.4
140,V89,0,0,0,0,1,0.2
141,V90,1091,556,449,622,476,638.8
142,V91,1246,708,483,607,492,707.2
143,V92,85,61,59,65,59,65.8
144,V93,199,109,88,134,102,126.4
145,V94,245,255,148,194,176,203.6
146,V95,306,112,77,87,56,127.6
147,V96,1245,640,449,636,444,682.8
148,V97,380,165,115,154,142,191.2
149,V98,161,76,50,82,41,82.0
150,V99,1266,738,629,864,445,788.4
151,V100,246,140,100,118,93,139.4
152,V101,195,76,54,93,37,91.0
153,V102,525,305,267,336,266,339.8
154,V103,172,84,46,79,50,86.2
155,V104,63,30,16,20,13,28.4
156,V105,347,193,112,168,127,189.4
157,V106,94,59,47,57,41,59.6
158,V107,0,0,0,0,0,0.0
159,V108,49,51,18,74,46,47.6
160,V109,99,171,69,128,53,104.0
161,V110,24,31,14,15,14,19.6
162,V111,24,17,15,7,14,15.4
163,V112,82,32,65,17,31,45.4
164,V113,8,1,5,12,2,5.6
165,V114,35,19,7,12,8,16.2
166,V115,268,166,82,127,104,149.4
167,V116,73,46,21,35,17,38.4
168,V117,0,0,0,0,0,0.0
169,V118,21,2,7,0,0,6.0
170,V119,0,0,0,1,1,0.4
171,V120,1,3,0,0,0,0.8
172,V121,42,26,14,18,3,20.6
173,V122,2,0,0,1,0,0.6
174,V123,153,82,59,99,55,89.6
175,V124,679,359,295,406,295,406.8
176,V125,184,123,62,125,102,119.2
177,V126,1324,566,365,599,422,655.2
178,V127,3821,1777,1313,1930,1273,2022.8
179,V128,2001,899,596,925,653,1014.8
180,V129,1082,570,354,618,376,600.0
181,V130,3901,2016,1654,2277,1494,2268.4
182,V131,2287,1092,892,1157,855,1256.6
183,V132,619,358,171,272,165,317.0
184,V133,1649,835,593,924,566,913.4
185,V134,744,357,225,348,200,374.8
186,V135,638,324,156,318,154,318.0
187,V136,1456,730,605,780,613,836.8
188,V137,719,388,231,360,300,399.6
189,V138,8,6,4,7,4,5.8
190,V139,774,548,353,544,360,515.8
191,V140,500,292,240,341,227,320.0
192,V141,24,17,35,33,44,30.6
193,V142,27,13,28,22,44,26.8
194,V143,278,365,444,479,264,366.0
195,V144,127,135,118,144,102,125.2
196,V145,328,255,179,252,197,242.2
197,V146,109,104,72,78,61,84.8
198,V147,200,130,99,146,94,133.8
199,V148,125,124,74,92,88,100.6
200,V149,518,401,372,449,380,424.0
201,V150,399,242,151,265,210,253.4
202,V151,151,195,99,194,122,152.2
203,V152,314,249,175,354,312,280.8
204,V153,68,66,34,53,39,52.0
205,V154,217,54,57,136,46,102.0
206,V155,45,66,37,46,42,47.2
207,V156,504,294,195,267,223,296.6
208,V157,107,51,40,54,41,58.6
209,V158,160,79,75,97,103,102.8
210,V159,323,206,135,239,232,227.0
211,V160,800,439,364,535,422,512.0
212,V161,116,80,104,144,114,111.6
213,V162,177,102,141,113,140,134.6
214,V163,116,67,82,90,108,92.6
215,V164,339,376,295,467,311,357.6
216,V165,975,677,489,779,659,715.8
217,V166,293,332,227,364,196,282.4
218,V167,126,90,58,81,57,82.4
219,V168,184,156,107,134,94,135.0
220,V169,377,185,182,185,209,227.6
221,V170,522,327,254,341,180,324.8
222,V171,462,293,217,335,159,293.2
223,V172,43,53,47,83,44,54.0
224,V173,37,27,40,56,54,42.8
225,V174,75,84,35,61,46,60.2
226,V175,96,90,72,100,66,84.8
227,V176,208,135,74,102,68,117.4
228,V177,69,54,29,63,48,52.6
229,V178,214,122,83,167,115,140.2
230,V179,107,70,41,85,41,68.8
231,V180,234,90,103,134,75,127.2
232,V181,58,29,30,59,22,39.6
233,V182,153,94,104,98,72,104.2
234,V183,101,67,67,53,63,70.2
235,V184,186,91,96,102,59,106.8
236,V185,136,65,62,69,39,74.2
237,V186,105,99,32,54,38,65.6
238,V187,781,459,303,350,403,459.2
239,V188,245,154,113,181,99,158.4
240,V189,335,209,207,268,223,248.4
241,V190,120,109,41,59,53,76.4
242,V191,35,25,14,15,14,20.6
243,V192,58,45,30,50,33,43.2
244,V193,28,31,16,24,27,25.2
245,V194,72,35,32,33,14,37.2
246,V195,59,55,33,32,14,38.6
247,V196,7,21,11,9,11,11.8
248,V197,74,172,65,49,58,83.6
249,V198,64,95,75,154,24,82.4
250,V199,181,109,58,79,50,95.4
251,V200,273,158,101,145,157,166.8
252,V201,286,252,157,230,178,220.6
253,V202,609,299,166,321,209,320.8
254,V203,1273,751,417,664,460,713.0
255,V204,796,380,226,372,205,395.8
256,V205,418,231,133,285,183,250.0
257,V206,406,166,174,265,158,233.8
258,V207,702,493,337,446,324,460.4
259,V208,1024,587,426,512,348,579.4
260,V209,870,500,368,482,372,518.4
261,V210,827,437,313,367,290,446.8
262,V211,356,199,136,193,136,204.0
263,V212,611,369,251,323,218,354.4
264,V213,352,208,138,189,149,207.2
265,V214,352,221,150,230,146,219.8
266,V215,748,476,311,446,248,445.8
267,V216,433,283,249,248,175,277.6
268,V217,289,207,168,178,158,200.0
269,V218,631,288,189,301,176,317.0
270,V219,337,191,156,161,123,193.6
271,V220,513,329,298,317,144,320.2
272,V221,1450,654,481,617,430,726.4
273,V222,968,511,287,450,367,516.6
274,V223,146,107,132,125,145,131.0
275,V224,326,220,173,295,226,248.0
276,V225,223,175,112,170,104,156.8
277,V226,336,72,129,189,151,175.4
278,V227,161,122,75,108,122,117.6
279,V228,275,169,85,138,92,151.8
280,V229,589,285,176,288,271,321.8
281,V230,331,165,88,173,130,177.4
282,V231,179,103,74,93,93,108.4
283,V232,477,210,152,225,149,242.6
284,V233,235,118,85,149,107,138.8
285,V234,541,270,232,299,205,309.4
286,V235,97,50,47,80,54,65.6
287,V236,214,103,86,111,73,117.4
288,V237,151,106,58,103,63,96.2
289,V238,197,115,69,99,80,112.0
290,V239,212,127,94,121,81,127.0
291,V240,3,0,0,2,1,1.2
292,V241,0,0,0,0,0,0.0
293,V242,196,110,66,85,62,103.8
294,V243,456,255,231,213,240,279.0
295,V244,262,137,113,100,96,141.6
296,V245,653,361,271,368,311,392.8
297,V246,234,110,104,109,67,124.8
298,V247,55,38,17,20,31,32.2
299,V248,198,116,103,115,96,125.6
300,V249,120,81,56,43,44,68.8
301,V250,193,146,96,116,147,139.6
302,V251,359,264,159,203,241,245.2
303,V252,32,38,5,31,12,23.6
304,V253,215,85,85,135,92,122.4
305,V254,99,50,33,62,45,57.8
306,V255,133,106,56,84,51,86.0
307,V256,406,168,180,242,176,234.4
308,V257,693,284,172,215,185,309.8
309,V258,690,409,427,465,429,484.0
310,V259,616,351,269,351,184,354.2
311,V260,486,215,149,201,150,240.2
312,V261,1219,608,412,536,521,659.2
313,V262,765,306,251,325,254,380.2
314,V263,936,387,247,396,276,448.4
315,V264,2015,855,612,923,602,1001.4
316,V265,1269,499,330,533,419,610.0
317,V266,759,465,435,396,524,515.8
318,V267,1328,715,477,593,557,734.0
319,V268,840,505,412,428,281,493.2
320,V269,61,6,19,16,11,22.6
321,V270,729,428,339,509,290,459.0
322,V271,796,512,381,577,469,547.0
323,V272,595,350,215,425,275,372.0
324,V273,556,205,152,264,184,272.2
325,V274,1079,544,352,525,415,583.0
326,V275,648,337,206,331,229,350.2
327,V276,604,275,158,281,244,312.4
328,V277,1247,552,327,601,408,627.0
329,V278,789,437,268,516,291,460.2
330,V279,460,291,213,334,207,301.0
331,V280,727,403,295,442,300,433.4
332,V281,1381,812,563,747,654,831.4
333,V282,2173,1311,1060,1203,1018,1353.0
334,V283,2613,1341,1040,1291,1209,1498.8
335,V284,163,74,50,74,46,81.4
336,V285,1909,1293,1067,1335,1110,1342.8
337,V286,225,201,108,166,181,176.2
338,V287,323,179,149,214,129,198.8
339,V288,497,280,168,202,191,267.6
340,V289,618,415,378,409,382,440.4
341,V290,233,129,88,111,76,127.4
342,V291,1560,887,696,850,565,911.6
343,V292,590,324,204,302,240,332.0
344,V293,286,247,223,210,206,234.4
345,V294,1119,726,645,948,580,803.6
346,V295,384,190,163,226,202,233.0
347,V296,938,638,409,533,460,595.6
348,V297,65,37,25,49,48,44.8
349,V298,541,369,241,332,248,346.2
350,V299,131,91,54,64,70,82.0
351,V300,475,303,166,225,162,266.2
352,V301,376,265,169,191,119,224.0
353,V302,24,23,6,14,11,15.6
354,V303,212,88,59,108,69,107.2
355,V304,121,40,25,71,39,59.2
356,V305,0,0,0,0,0,0.0
357,V306,1763,783,511,773,621,890.2
358,V307,6017,3205,2125,3299,2447,3418.6
359,V308,2909,1505,944,1563,1177,1619.6
360,V309,1711,964,553,842,737,961.4
361,V310,5920,3396,2508,3616,2522,3592.4
362,V311,1121,673,330,726,594,688.8
363,V312,3006,1579,1159,1732,1266,1748.4
364,V313,6703,3386,2547,3586,2960,3836.4
365,V314,4618,2332,1789,2323,1902,2592.8
366,V315,5387,2702,1961,2643,2172,2973.0
367,V316,892,388,268,451,278,455.4
368,V317,2721,1329,946,1376,1093,1493.0
369,V318,1282,531,402,699,440,670.8
370,V319,470,255,144,243,171,256.6
371,V320,2043,1297,853,1191,1087,1294.2
372,V321,809,489,258,434,316,461.2
373,V322,76,65,53,58,54,61.2
374,V323,319,201,224,290,186,244.0
375,V324,183,80,105,109,117,118.8
376,V325,4,2,3,4,2,3.0
377,V326,170,131,122,124,94,128.2
378,V327,48,40,22,20,14,28.8
379,V328,23,14,13,21,11,16.4
380,V329,100,38,48,53,52,58.2
381,V330,47,15,26,32,15,27.0
382,V331,164,95,81,122,100,112.4
383,V332,428,265,197,271,263,284.8
384,V333,234,143,144,190,133,168.8
385,V334,25,26,19,45,19,26.8
386,V335,295,197,159,197,168,203.2
387,V336,189,107,63,128,122,121.8
388,V337,92,69,56,44,39,60.0
389,V338,246,157,133,158,83,155.4
390,V339,128,64,76,100,61,85.8
391,id_01,3962,2004,1415,2020,1562,2192.6
392,id_02,6346,2558,1884,2831,1961,3116.0
393,id_03,1158,494,473,551,518,638.8
394,id_04,420,310,153,328,196,281.4
395,id_05,5379,2864,2145,2830,2155,3074.6
396,id_06,6884,3282,2415,3200,2558,3667.8
397,id_07,464,278,252,218,160,274.4
398,id_08,309,306,115,254,122,221.2
399,id_09,684,590,497,608,581,592.0
400,id_10,301,152,84,100,113,150.0
401,id_11,619,326,234,397,262,367.6
402,id_12,72,18,12,25,16,28.6
403,id_13,7166,3645,2525,3691,2369,3879.2
404,id_14,2082,1256,894,1286,1014,1306.4
405,id_15,388,180,210,228,167,234.6
406,id_16,166,82,74,104,99,105.0
407,id_17,831,429,445,557,529,558.2
408,id_18,2192,1267,851,1265,1061,1327.2
409,id_19,12526,6899,4403,6232,4132,6838.4
410,id_20,13727,7410,5224,7292,5267,7784.0
411,id_21,136,177,77,227,50,133.4
412,id_22,5,12,8,14,7,9.2
413,id_23,28,64,67,88,20,53.4
414,id_24,119,29,44,40,49,56.2
415,id_25,163,131,63,102,116,115.0
416,id_26,186,178,61,134,47,121.2
417,id_27,0,0,0,0,1,0.2
418,id_28,42,21,31,41,28,32.6
419,id_29,12,8,8,7,12,9.4
420,id_30,2409,1315,1151,1523,1083,1496.2
421,id_31,8053,3805,2603,3685,2834,4196.0
422,id_32,325,207,234,267,209,248.4
423,id_33,2249,1279,941,1598,1126,1438.6
424,id_34,111,106,47,92,102,91.6
425,id_35,10,5,5,7,10,7.4
426,id_36,43,25,12,26,13,23.8
427,id_37,413,191,174,259,205,248.4
428,id_38,837,619,829,919,763,793.4
429,DeviceType,758,419,308,460,336,456.2
430,DeviceInfo,5712,2552,1849,2764,1828,2941.0
431,device_name,3111,1393,1187,1480,1197,1673.6
432,device_version,4697,2175,1545,2074,1662,2430.6
433,OS_id_30,251,236,172,227,212,219.6
434,version_id_30,2180,1193,995,1382,920,1334.0
435,browser_id_31,1160,676,547,680,534,719.4
436,version_id_31,6282,3466,2133,3219,2245,3469.0
437,screen_width,1292,737,580,1026,610,849.0
438,screen_height,2426,1524,1265,1678,1175,1613.6
439,had_id,1,0,0,1,0,0.4
440,TransactionAmt_to_mean_card1,37139,14999,9960,15483,10704,17657.0
441,TransactionAmt_to_std_card1,43804,18228,11764,19600,13448,21368.8
442,TransactionAmt_to_mean_card4,26825,11658,7648,12436,8638,13441.0
443,TransactionAmt_to_std_card4,25387,10636,6941,11382,7964,12462.0
444,TransactionAmt_to_mean_addr1,30447,13690,9241,14434,10233,15609.0
445,TransactionAmt_to_std_addr1,31190,13171,8778,13984,9748,15374.2
446,id_02_to_mean_card1,8590,3602,2409,4046,2452,4219.8
447,id_02_to_std_card1,9315,4067,2569,4277,3039,4653.4
448,id_02_to_mean_card4,7053,2998,1954,3221,2276,3500.4
449,id_02_to_std_card4,6214,2675,1847,2880,2079,3139.0
450,id_02_to_mean_addr1,2518,1470,1158,1814,1219,1635.8
451,id_02_to_std_addr1,2413,1500,1243,1743,1295,1638.8
452,D15_to_mean_card1,16709,8864,6568,8784,7023,9589.6
453,D15_to_std_card1,14764,7997,5747,8338,6387,8646.6
454,D15_to_mean_card4,11948,6398,4679,6563,5319,6981.4
455,D15_to_std_card4,9403,5003,3785,5214,4044,5489.8
456,D15_to_mean_addr1,12069,6508,5282,6831,5862,7310.4
457,D15_to_std_addr1,10521,5752,4472,6168,4616,6305.8
458,TransactionAmt_Log,14354,6210,4179,6286,5013,7208.4
459,TransactionAmt_decimal,19044,7714,4889,7664,5661,8994.4
460,Transaction_day_of_week,17847,7140,4183,7589,5219,8395.6
461,Transaction_hour,28627,10663,6896,10905,7706,12959.4
462,card1_count_full,49666,24002,17596,25374,19983,27324.2
463,card2_count_full,33581,17026,11987,16975,13386,18591.0
464,card3_count_full,1647,1091,885,1084,932,1127.8
465,card4_count_full,1854,1214,767,1071,946,1170.4
466,card5_count_full,10394,4926,3506,4798,4284,5581.6
467,card6_count_full,1543,960,802,1006,868,1035.8
468,id_36_count_full,96,71,24,62,42,59.0
469,id_01_count_dist,2935,1522,976,1643,1236,1662.4
470,id_31_count_dist,8935,4480,3118,4516,3104,4830.6
471,id_33_count_dist,2633,1564,1188,1820,1399,1720.8
472,id_36_count_dist,73,41,17,47,28,41.2
473,id_02__id_20,6427,2560,1463,2641,1789,2976.0
474,id_02__D8,4346,1598,1063,1683,957,1929.4
475,D11__DeviceInfo,9289,4641,3176,4270,3376,4950.4
476,DeviceInfo__P_emaildomain,14879,7112,5167,7434,5576,8033.6
477,P_emaildomain__C2,24668,11726,8472,11976,9007,13169.8
478,card2__dist1,30892,14132,10300,14673,11463,16292.0
479,card1__card5,42518,20265,14677,20775,17265,23100.0
480,card2__id_20,21217,9966,6883,9922,7633,11124.2
481,card5__P_emaildomain,28467,13739,9674,14033,9942,15171.0
482,addr1__card1,51441,22657,16383,23830,18772,26616.6
483,P_emaildomain_bin,10061,4749,3240,4769,3544,5272.6
484,P_emaildomain_suffix,1708,1002,713,1005,754,1036.4
485,R_emaildomain_bin,3729,1862,1646,2264,1877,2275.6
486,R_emaildomain_suffix,512,270,228,258,288,311.2
